Attendance,LMS_Activity,Quiz_Score,Assignment_Score,Engagement_Level
77,57,78,99,Medium
77,40,80,87,Medium
61,30,88,82,Low
94,33,50,76,Low
75,25,78,43,Low
100,15,63,69,Low
95,44,99,45,Medium
92,15,85,85,Medium
63,40,58,93,Low
92,63,43,58,Low
73,43,65,71,Low
80,58,77,48,Low
79,59,81,51,Low
67,28,71,50,Low
66,26,78,85,Low
62,73,84,94,Medium
76,60,85,55,Low
92,37,75,40,Low
71,40,79,84,Medium
81,24,76,94,Medium
81,87,72,92,High
89,85,75,60,Medium
97,66,42,69,Medium
97,77,48,52,Low
67,30,47,73,Low
86,70,72,43,Low
86,77,98,67,High
93,77,45,77,Medium
80,44,80,97,Medium
89,21,78,70,Low
92,5,43,98,Low
87,93,52,94,Medium
92,65,88,66,Medium
64,47,99,44,Low
78,46,41,64,Low
63,29,99,42,Low
94,43,44,72,Low
76,39,83,43,Low
87,7,66,64,Low
89,48,71,59,Low
88,55,60,73,Medium
65,98,47,65,Low
94,16,77,44,Low
100,23,47,74,Low
96,48,89,100,High
83,63,42,67,Low
88,53,93,68,Medium
90,65,83,48,Medium
94,21,100,91,Medium
92,78,97,77,High
80,61,42,89,Low
91,59,61,45,Low
82,51,45,58,Low
92,16,41,99,Low
62,66,62,83,Low
77,84,83,96,High
84,92,41,50,Low
90,87,77,41,Medium
62,12,56,86,Low
99,99,74,83,High
83,25,73,83,Low
91,85,62,48,Medium
81,91,69,60,Medium
82,84,91,63,Medium
61,74,47,73,Low
86,76,61,61,Medium
61,29,83,42,Low
85,86,97,51,Medium
76,93,75,67,Medium
99,16,44,69,Low
92,19,52,65,Low
68,63,68,87,Medium
98,30,70,60,Low
88,30,86,67,Medium
85,51,96,95,High
94,36,94,65,Medium
84,14,55,72,Low
83,20,81,60,Low
72,75,69,74,Medium
66,21,96,91,Medium
95,27,94,73,Medium
79,30,55,80,Low
60,89,51,90,Medium
67,90,56,86,Medium
75,11,55,57,Low
73,18,51,97,Low
71,83,47,50,Low
82,11,59,96,Low
74,13,42,62,Low
87,52,55,87,Medium
93,76,69,61,Medium
61,63,84,56,Low
91,91,62,44,Medium
82,97,67,83,Medium
81,86,90,50,Medium
84,99,79,69,Medium
81,98,93,54,Medium
81,43,44,66,Low
65,22,59,74,Low
74,63,79,72,Medium
96,21,95,59,Medium
92,18,83,100,Medium
67,35,40,55,Low
64,28,96,73,Low
98,64,69,41,Low
63,49,60,74,Low
65,7,59,79,Low
91,41,45,95,Medium
89,47,61,67,Low
94,44,57,86,Medium
99,94,47,78,Medium
75,59,78,45,Low
72,91,71,48,Low
89,43,72,59,Low
78,19,92,99,Medium
76,8,55,40,Low
78,97,51,47,Low
87,90,77,94,High
85,29,91,62,Low
96,17,73,42,Low
85,86,100,43,Medium
82,37,53,97,Low
68,20,75,64,Low
71,46,72,86,Medium
60,70,62,77,Low
60,59,89,54,Low
93,46,84,60,Medium
91,38,41,74,Low
84,34,80,96,Medium
99,17,60,92,Medium
60,17,41,92,Low
75,22,66,85,Low
98,36,96,91,High
64,100,48,53,Low
81,43,40,75,Low
88,50,50,51,Low
62,33,42,56,Low
71,66,91,78,Medium
85,97,62,48,Medium
75,66,65,74,Medium
96,61,43,99,Medium
81,20,57,52,Low
88,60,94,54,Medium
73,14,45,57,Low
87,34,74,90,Medium
64,29,61,72,Low
89,88,82,45,Medium
64,9,54,98,Low
71,69,61,66,Low
75,98,99,62,High
85,53,76,98,Medium
85,7,91,66,Low
80,49,81,73,Medium
98,18,51,95,Low
95,34,86,85,Medium
92,72,88,77,High
89,22,81,53,Low
96,66,77,75,Medium
82,41,57,92,Medium
69,29,84,47,Low
64,52,74,74,Low
95,69,69,58,Medium
93,57,63,69,Medium
90,83,81,53,Medium
69,77,69,98,Medium
78,19,53,59,Low
91,53,45,88,Medium
60,92,42,64,Low
64,72,55,79,Low
63,16,46,63,Low
75,63,91,53,Medium
83,41,53,65,Low
75,65,48,77,Low
61,47,54,62,Low
87,74,60,61,Medium
91,43,74,87,Medium
86,60,41,96,Medium
79,67,66,58,Low
83,50,41,85,Low
71,92,74,90,Medium
94,15,57,42,Low
92,66,53,81,Medium
92,81,59,58,Medium
96,29,57,48,Low
71,75,49,67,Low
62,56,64,59,Low
60,8,41,84,Low
92,63,64,46,Low
99,76,100,53,High
69,24,93,48,Low
88,97,72,98,High
72,67,75,99,Medium
71,58,70,94,Medium
90,78,53,96,Medium
61,61,40,99,Low
94,94,85,58,High
82,45,55,86,Low
76,7,93,91,Medium
85,10,85,53,Low
67,9,100,95,Medium
88,9,91,77,Medium
85,58,42,92,Medium
69,51,74,100,Medium
85,91,80,75,High
93,53,45,79,Low
100,13,64,56,Low
66,24,52,69,Low
63,65,92,48,Low
70,39,73,72,Low
88,54,47,95,Medium
95,86,60,91,High
84,66,73,64,Medium
80,21,43,53,Low
95,92,64,50,Medium
69,7,54,92,Low
96,36,43,74,Low
68,17,84,80,Low
83,93,99,98,High
94,77,51,53,Low
94,72,71,69,Medium
95,18,71,80,Low
77,15,67,43,Low
98,60,52,98,Medium
91,71,70,43,Low
83,96,53,67,Medium
82,33,59,47,Low
91,13,57,41,Low
96,71,68,80,Medium
71,29,99,100,Medium
72,80,45,85,Medium
82,46,71,61,Low
84,13,68,80,Low
94,83,82,95,High
100,44,41,94,Medium
89,29,99,55,Medium
76,9,62,68,Low
79,15,58,88,Low
84,63,70,87,Medium
81,92,90,69,High
72,83,44,51,Low
78,42,58,74,Low
95,76,73,50,Medium
71,9,49,85,Low
100,52,64,89,Medium
78,94,41,60,Low
71,22,50,60,Low
68,74,89,44,Low
66,41,100,87,Medium
87,64,70,59,Medium
73,52,95,76,Medium
90,81,54,42,Low
78,32,48,83,Low
75,73,62,72,Medium
64,81,58,92,Medium
94,85,48,100,High
71,44,74,48,Low
84,49,60,100,Medium
80,100,48,48,Low
95,66,67,43,Low
82,97,85,74,High
75,62,90,56,Medium
98,71,46,73,Medium
98,60,55,63,Medium
73,44,55,71,Low
90,44,99,40,Medium
64,95,72,47,Low
94,81,43,84,Medium
82,37,43,62,Low
88,10,78,86,Low
70,92,79,79,Medium
77,23,56,51,Low
71,84,76,93,Medium
68,44,78,51,Low
69,96,99,85,High
76,63,91,86,Medium
97,63,68,54,Medium
66,52,91,80,Medium
72,45,75,58,Low
99,17,99,65,Medium
68,49,77,91,Medium
86,93,78,68,Medium
61,57,89,61,Low
64,46,76,79,Low
88,67,91,60,Medium
96,31,100,90,High
97,42,74,77,Medium
78,64,46,59,Low
67,11,66,96,Low
60,9,67,68,Low
81,49,61,90,Medium
76,62,53,43,Low
66,35,46,94,Low
84,27,76,46,Low
63,46,100,67,Low
95,14,61,67,Low
65,36,44,43,Low
90,57,94,61,Medium
78,34,41,51,Low
98,43,66,84,Medium
86,35,60,42,Low
69,86,93,61,Medium
85,6,77,83,Low
78,82,54,41,Low
98,81,60,63,Medium
62,97,49,73,Low
72,16,62,66,Low
87,43,97,94,High
79,70,95,80,Medium
87,100,78,40,Medium
67,17,44,47,Low
100,50,40,62,Low
98,31,52,77,Low
60,21,60,45,Low
62,99,65,61,Low
72,64,89,64,Medium
87,68,84,57,Medium
84,92,60,56,Medium
92,39,92,100,High
97,74,57,51,Medium
65,87,76,45,Low
91,34,84,65,Medium
80,75,71,66,Medium
75,78,75,47,Low
80,100,56,58,Medium
70,67,74,99,Medium
96,32,88,81,Medium
95,64,99,40,Medium
94,83,50,96,Medium
78,98,60,68,Medium
79,41,91,84,Medium
77,97,94,88,High
100,26,92,74,Medium
73,72,65,79,Medium
74,24,43,53,Low
90,100,73,74,High
60,72,91,87,Medium
62,95,87,84,Medium
75,68,99,59,Medium
82,21,57,95,Low
70,16,79,88,Low
71,26,74,52,Low
69,21,80,100,Low
91,14,68,77,Low
75,69,91,88,Medium
67,26,68,85,Low
97,94,77,88,High
71,86,81,47,Medium
83,54,60,82,Medium
87,18,81,59,Low
67,68,52,99,Medium
87,51,88,72,Medium
95,33,80,65,Medium
85,80,56,78,Medium
67,40,95,60,Low
87,56,48,92,Medium
87,80,80,88,High
96,11,40,81,Low
100,33,41,82,Low
95,15,99,93,Medium
86,37,87,80,Medium
76,10,68,48,Low
68,83,72,63,Medium
92,36,49,76,Low
79,55,89,88,Medium
72,79,97,80,Medium
87,62,99,56,Medium
88,91,79,63,Medium
72,30,60,60,Low
94,50,67,90,Medium
65,33,50,98,Low
77,8,94,78,Low
64,85,73,94,Medium
84,17,47,80,Low
61,43,98,78,Medium
69,19,61,52,Low
89,33,47,50,Low
64,33,88,85,Low
92,79,54,58,Medium
60,36,56,50,Low
77,6,99,52,Low
91,51,62,85,Medium
70,82,63,84,Medium
80,88,84,40,Medium
85,26,58,79,Low
84,79,44,83,Medium
81,31,71,58,Low
86,71,83,51,Medium
72,85,40,47,Low
92,60,62,47,Low
93,96,76,100,High
100,97,47,92,High
94,25,52,84,Low
60,51,47,51,Low
80,84,96,100,High
65,63,62,87,Low
87,88,82,72,High
76,10,40,84,Low
64,23,84,65,Low
90,61,90,78,Medium
64,73,63,67,Low
97,7,74,97,Medium
62,5,63,44,Low
82,62,56,47,Low
96,42,44,64,Low
96,19,59,66,Low
69,38,60,85,Low
69,65,79,62,Low
78,39,97,69,Medium
76,68,70,84,Medium
80,29,85,86,Medium
73,28,75,62,Low
68,16,50,88,Low
60,22,91,86,Low
72,19,54,59,Low
63,84,58,57,Low
60,31,46,57,Low
99,76,90,41,Medium
91,64,67,43,Low
93,50,90,69,Medium
87,93,82,72,High
90,21,97,75,Medium
67,97,44,57,Low
98,57,44,76,Medium
85,12,69,58,Low
93,83,93,86,High
62,31,71,67,Low
71,50,47,79,Low
60,54,49,59,Low
64,75,77,88,Medium
89,7,86,72,Low
89,97,71,51,Medium
76,68,87,97,High
82,48,67,90,Medium
74,57,56,54,Low
96,28,70,80,Medium
80,64,47,78,Low
73,7,79,41,Low
61,24,64,68,Low
70,50,48,80,Low
98,19,41,49,Low
97,29,54,41,Low
93,98,89,90,High
97,82,42,50,Low
93,75,88,52,Medium
77,21,75,49,Low
89,88,43,53,Low
74,13,53,57,Low
86,42,80,90,Medium
93,52,80,93,Medium
97,64,64,48,Low
92,67,97,96,High
83,90,94,78,High
74,6,89,67,Low
89,92,49,42,Low
76,76,60,59,Low
64,15,75,45,Low
88,68,51,66,Low
63,81,66,92,Medium
69,85,79,41,Low
76,76,41,68,Low
69,25,93,77,Low
76,22,52,42,Low
79,98,92,55,Medium
83,68,71,69,Medium
64,86,70,79,Medium
93,99,55,41,Medium
65,42,71,56,Low
61,36,71,80,Low
72,15,99,51,Low
70,49,73,74,Low
82,93,50,82,Medium
75,37,49,40,Low
90,45,54,94,Medium
70,12,56,84,Low
75,15,79,54,Low
67,90,57,65,Low
63,55,94,76,Medium
99,92,48,60,Medium
63,45,64,88,Low
84,21,79,70,Low
62,80,98,64,Medium
91,50,53,62,Low
62,36,99,63,Low
86,83,97,96,High
88,84,64,77,Medium
91,58,89,67,Medium
78,90,61,60,Medium
80,96,91,93,High
64,24,69,82,Low
77,37,59,57,Low
87,78,60,75,Medium
81,44,83,74,Medium
80,36,71,84,Low
65,6,90,94,Low
60,37,85,48,Low
64,81,88,92,Medium
100,34,95,77,Medium
71,37,60,97,Low
85,81,74,69,Medium
93,30,97,99,High
73,26,71,83,Low
85,70,69,73,Medium
86,42,94,71,Medium
68,94,78,42,Low
85,50,88,42,Low
81,19,51,67,Low
89,48,80,83,Medium
76,53,86,54,Low
85,79,57,80,Medium
95,65,60,62,Medium
60,71,52,79,Low
67,10,60,50,Low
94,13,47,87,Low
74,10,85,71,Low
81,77,79,97,High
73,99,85,98,High
85,36,46,96,Low
87,45,62,93,Medium
82,80,83,75,Medium
73,12,71,99,Low
83,76,50,72,Medium
61,54,61,63,Low
85,96,61,78,Medium
73,66,82,73,Medium
66,88,64,95,Medium
62,66,61,67,Low
82,11,67,76,Low
77,79,68,46,Low
97,88,52,43,Medium
94,84,57,76,Medium
74,8,41,95,Low
84,10,68,40,Low
96,62,60,40,Low
87,26,54,86,Low
69,30,91,59,Low
98,7,66,58,Low
76,45,89,68,Medium
98,64,70,49,Medium
81,18,54,99,Low
85,79,90,57,Medium
84,86,62,67,Medium
76,16,63,74,Low
72,91,83,82,Medium
79,16,52,86,Low
84,17,61,70,Low
63,29,82,66,Low
69,49,76,50,Low
62,23,100,88,Medium
100,59,72,88,Medium
77,49,95,77,Medium
95,12,42,44,Low
81,97,93,47,Medium
93,57,58,73,Medium
67,59,62,87,Low
99,36,68,91,Medium
78,55,69,95,Medium
100,48,78,51,Medium
96,86,83,77,High
65,74,86,40,Low
85,22,64,70,Low
93,87,76,43,Medium
65,26,86,88,Low
96,41,47,84,Low
92,100,81,89,High
81,60,97,44,Medium
80,63,55,69,Low
65,7,47,95,Low
65,32,40,63,Low
63,78,83,98,Medium
89,39,44,42,Low
70,65,42,50,Low
89,97,40,84,Medium
90,58,43,43,Low
83,67,79,65,Medium
68,83,74,66,Medium
62,11,71,85,Low
90,80,81,93,High
99,53,73,82,Medium
96,98,82,66,High
95,89,64,81,High
83,35,49,90,Low
90,62,60,89,Medium
65,65,85,45,Low
61,28,78,98,Low
79,24,66,100,Medium
87,41,66,54,Low
70,8,41,92,Low
63,96,80,69,Medium
74,24,87,81,Low
65,64,52,76,Low
89,28,48,97,Low
97,54,91,100,High
61,53,75,76,Low
74,55,61,81,Low
70,100,81,99,High
67,40,65,76,Low
85,70,97,74,High
64,83,93,62,Medium
65,38,51,45,Low
85,40,56,43,Low
63,10,53,57,Low
78,43,53,99,Medium
79,46,96,48,Low
92,62,73,88,Medium
79,16,92,68,Low
71,7,96,52,Low
60,22,59,98,Low
85,44,50,86,Low
73,25,55,91,Low
97,19,90,56,Low
96,30,70,84,Medium
70,12,94,71,Low
95,98,45,87,Medium
72,91,95,61,Medium
62,46,58,43,Low
92,48,76,44,Low
65,18,97,76,Low
69,82,43,80,Low
64,6,86,88,Low
82,41,100,52,Medium
69,73,43,73,Low
61,42,59,84,Low
72,45,49,61,Low
99,66,63,92,Medium
61,64,93,98,Medium
79,18,74,62,Low
60,93,65,90,Medium
96,88,76,42,Medium
68,6,77,81,Low
76,74,60,73,Medium
68,21,93,71,Low
70,93,79,84,Medium
74,32,78,90,Medium
83,70,60,97,Medium
97,39,49,88,Medium
94,9,77,60,Low
89,69,85,85,High
90,44,43,83,Low
64,80,99,60,Medium
73,60,96,83,Medium
70,40,84,50,Low
68,49,59,78,Low
93,27,56,43,Low
71,51,94,90,Medium
94,35,46,40,Low
94,15,43,67,Low
60,14,68,63,Low
99,71,53,100,High
81,18,42,74,Low
88,84,63,52,Medium
67,78,76,86,Medium
70,97,55,73,Medium
100,14,97,50,Low
96,80,94,75,High
73,98,91,90,High
89,5,43,100,Low
94,9,95,56,Low
80,24,63,74,Low
96,12,73,99,Medium
64,47,69,57,Low
78,80,57,79,Medium
73,5,58,61,Low
85,61,70,96,Medium
63,68,99,63,Medium
84,88,99,97,High
84,32,58,58,Low
77,41,88,76,Medium
99,51,85,78,Medium
67,80,58,60,Low
98,41,61,47,Low
99,53,63,67,Medium
73,48,84,44,Low
91,60,51,56,Low
97,32,69,76,Medium
92,83,97,75,High
82,10,77,93,Low
74,65,92,58,Medium
92,24,70,66,Low
84,82,75,92,High
76,6,58,73,Low
92,77,87,50,Medium
61,41,84,93,Medium
73,24,75,84,Low
99,30,69,86,Medium
99,33,94,51,Medium
98,5,88,93,Medium
65,39,94,60,Low
65,74,72,93,Medium
62,63,57,50,Low
66,73,91,78,Medium
67,37,88,67,Low
74,55,98,44,Low
88,82,67,56,Medium
92,16,98,95,Medium
89,24,86,59,Low
98,57,50,80,Medium
86,92,96,85,High
95,47,99,97,High
88,93,93,51,Medium
97,54,84,45,Medium
92,33,72,56,Low
96,61,56,90,Medium
86,43,45,58,Low
92,99,43,65,Medium
63,60,59,87,Low
81,47,87,83,Medium
61,54,86,83,Medium
69,27,66,91,Low
64,48,54,71,Low
69,42,45,45,Low
92,88,86,94,High
97,27,53,97,Medium
72,49,99,75,Medium
90,56,50,77,Low
95,84,78,50,Medium
83,54,48,72,Low
74,12,65,63,Low
88,89,55,62,Medium
67,5,44,54,Low
64,12,96,66,Low
88,33,91,50,Low
63,100,100,96,High
71,9,49,90,Low
61,90,89,89,Medium
86,51,42,56,Low
90,38,52,90,Medium
95,69,82,92,High
95,59,88,53,Medium
85,94,69,66,Medium
86,47,93,57,Medium
64,78,84,67,Medium
79,34,45,90,Low
70,86,56,86,Medium
69,21,98,86,Medium
99,30,84,43,Low
97,12,90,46,Low
65,51,92,84,Medium
67,80,58,74,Low
82,95,81,87,High
